metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
agentil_software.netweaver.abap.sap_jobs.jobs_status,gauge,,,,Jobs status,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_process_chains.processchains_aborted_count,count,,process,,Aborted process chains count,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_rfc_destinations.rfc_destination_availability_per_as,gauge,,,,RFC destination availability,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_rfc_destinations.rfc_destination_availability_per_system,gauge,,,,RFC destination availability per system,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_shortdumps.shortdumps_count,count,,error,,Short dumps count,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_spool.spool_big_spool_count,count,,,,Big spool count,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_spool.spool_request_completed_with_errors_count,count,,request,,Number of spool requests completed with error,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_spool.spool_request_errors_count,count,,request,,Number of spool requests with errors,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_spool.spool_request_waiting,gauge,,request,,Number of waiting spool requests,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_spool.spool_used_numbers,gauge,,,,Number of spool used,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_transactions.transaction_avg_time_per_step,gauge,,millisecond,,Average response time per transaction,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_transports.sap_failed_transports_count,count,,,,Number of failed transports,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_updates.updates_errors_count,gauge,,update,,Number of failed updates,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_updates.updates_not_completed_count,count,,update,,Number of of incomplete updates,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.trfc.trfc_in_entries_count,count,,entry,,Number of inbound TRFC entries,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.trfc.trfc_out_entries_count,count,,entry,,Number of outbound TRFC entries,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.trfc.trfc_in_errors_count,count,,error,,Number of inbound TRFC errors,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.trfc.trfc_out_errors_count,count,,error,,Number of outbound TRFC errors,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.users.users_active,gauge,,user,,Number of active users,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.users.users_interactive,gauge,,user,,Number of interactive users,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.users.users_rfc,gauge,,user,,Number of RFC users,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abapccms.os_cpu_utilization.ccms.,gauge,,percent,,CPU utilization,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.j2ee.java_instances.java_instances_status,gauge,,,,J2EE instances status,0,agentil_software_sap_netweaver,,
agentil_software.systems.availability,gauge,,,,System availability,0,agentil_software_sap_netweaver,,
