metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.nutanix.clusters.data_reduction.dedup.saved_bytes,gauge,15,byte,,Data reduction deduplication saved of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.dedup.saving_ratio,gauge,15,percent,,Data reduction deduplication saving ratio of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.erasure_coding.post_reduction_bytes,gauge,15,byte,,Data reduction erasure coding post reduction of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.erasure_coding.pre_reduction_bytes,gauge,15,byte,,Data reduction erasure coding pre reduction of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.erasure_coding.saved_bytes,gauge,15,byte,,Data reduction erasure coding saved of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.erasure_coding.saving_ratio,gauge,15,percent,,Data reduction erasure coding saving ratio of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.overall.saved_bytes,gauge,15,byte,,Data reduction overall saved of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.overall.saving_ratio,gauge,15,percent,,Data reduction overall saving ratio of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.post_reduction_bytes,gauge,15,byte,,Data reduction post reduction of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.pre_reduction_bytes,gauge,15,byte,,Data reduction pre reduction of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.saved_bytes,gauge,15,byte,,Data reduction saved of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.saving_ratio,gauge,15,percent,,Data reduction saving ratio of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.thin_provision.post_reduction_bytes,gauge,15,byte,,Data reduction thin provisioning post reduction of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.thin_provision.pre_reduction_bytes,gauge,15,byte,,Data reduction thin provisioning pre reduction of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.thin_provision.saved_bytes,gauge,15,byte,,Data reduction thin provisioning saved of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.data_reduction.thin_provision.saving_ratio,gauge,15,percent,,Data reduction thin provisioning saving ratio of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.desiredRedundancyFactor,gauge,15,,,Cluster desired redundancy factor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_avg_io_latency_usecs,gauge,15,microsecond,,Average read and write I/O latency of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_avg_read_io_latency_usecs,gauge,15,microsecond,,Average read I/O latency of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_avg_write_io_latency_usecs,gauge,15,microsecond,,Average write I/O latency of the cluster - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_cpu_usage,gauge,15,percent,,CPU usage of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_io_bandwidth_kBps,gauge,15,kilobyte,,I/O bandwidth of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_kvm_cpu_usage,gauge,15,percent,,KVM CPU usage of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_kvm_memory_usage,gauge,15,percent,,KVM memory usage of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_memory_usage,gauge,15,percent,,Memory usage of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_num_io,gauge,15,operation,,Number of I/O of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_num_iops,gauge,15,operation,second,Number of IOPS of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_num_read_io,gauge,15,read,,Number of read I/O of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_num_read_iops,gauge,15,read,second,Number of read IOPS of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_num_write_io,gauge,15,write,,Number of write I/O of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_num_write_iops,gauge,15,write,second,Number of write IOPS of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_read_io_bandwidth_kBps,gauge,15,kilobyte,second,Read I/O bandwidth - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_timespan_usecs,gauge,15,microsecond,,Timespan of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_total_io_size_kbytes,gauge,15,kilobyte,,Total I/O size of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_total_io_time_usecs,gauge,15,microsecond,,Total I/O time of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_total_read_io_size_kbytes,gauge,15,kilobyte,,Total read I/O size of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.hypervisor_total_read_io_time_usecs,gauge,15,microsecond,,Total read I/O time of the cluster - as reported by the hypervisor,1,rapdev_nutanix,,
