metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
datadog.marketplace.rapdev.syntheticemail,gauge,,,,,0,synthetic_email,,
rapdev.syntheticemail.last_sent,gauge,300,second,,Elapsed seconds since email probe last sent,1,synthetic_email,,
rapdev.syntheticemail.last_seen,gauge,300,second,,Elapsed seconds since agent last checkin,1,synthetic_email,,
rapdev.syntheticemail.bounced,gauge,300,,,Email message bounced flag,1,synthetic_email,,
rapdev.syntheticemail.rtt,gauge,300,millisecond,,Email message round-trip time in milliseconds,1,synthetic_email,,
rapdev.syntheticemail.hop.elapsed,gauge,300,second,,SMTP relay hop elapsed time in seconds,1,synthetic_email,,
rapdev.syntheticemail.hops,gauge,300,,,SMTP relay hop count for message round-trip delivery,1,synthetic_email,,
