metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
rapdev.maxdb.locks.available,gauge,15,,,Number of entries available for locks and lock requests,1,rapdev_maxdb,
rapdev.maxdb.locks.deadlocks,gauge,15,,,Number of dead locks recognized,1,rapdev_maxdb,
rapdev.maxdb.locks.lock_escalations,gauge,15,,,Number of lock escalations executed,1,rapdev_maxdb,
rapdev.maxdb.locks.oms_collisions,gauge,15,,,Number of lock collisions for OMS objects,1,rapdev_maxdb,
rapdev.maxdb.locks.oms_timeouts,gauge,15,,,Number of unfulfilled lock requests for OMS objects,1,rapdev_maxdb,
rapdev.maxdb.locks.row_locks,gauge,15,,,Number of row locks held,1,rapdev_maxdb,
rapdev.maxdb.locks.sql_collisions,gauge,15,,,Number of lock collisions for SQL database objects,1,rapdev_maxdb,
rapdev.maxdb.locks.sql_timeouts,gauge,15,,,Number of unfulfilled lock requests for SQL database objects,1,rapdev_maxdb,
rapdev.maxdb.locks.table_locks,gauge,15,,,Number of table locks held,1,rapdev_maxdb,
rapdev.maxdb.locks.used,gauge,15,,,Number of lock entries used,1,rapdev_maxdb,
rapdev.maxdb.locks.utilization,gauge,15,,,Percentage of lock entries used,1,rapdev_maxdb,
rapdev.maxdb.log.in_use,gauge,15,,,Used log area (%),1,rapdev_maxdb,
rapdev.maxdb.log.not_saved,gauge,15,,,Size of log area not yet saved (%),1,rapdev_maxdb,
rapdev.maxdb.log.not_saved_size,gauge,15,byte,,Size of log area not yet saved,1,rapdev_maxdb,
rapdev.maxdb.log.queue_size,gauge,15,byte,,Size of the log queue,1,rapdev_maxdb,
rapdev.maxdb.log.usable_size,gauge,15,byte,,Size of the log area,1,rapdev_maxdb,
rapdev.maxdb.log.used_size,gauge,15,byte,,Used log area,1,rapdev_maxdb,
rapdev.maxdb.log_volume.usable_size,gauge,15,byte,,Area of the volume that can be used for log entries,1,rapdev_maxdb,
rapdev.maxdb.oms_heap.reserved_size,gauge,15,byte,,Memory managed by the allocator,1,rapdev_maxdb,
rapdev.maxdb.oms_heap.used_size,gauge,15,byte,,Currently used memory,1,rapdev_maxdb,
rapdev.maxdb.oms_heap.utilization,gauge,15,,,Currently used memory of the total heap allocated (%),1,rapdev_maxdb,
rapdev.maxdb.schema.used_size,gauge,15,byte,,Space used for tables and indexes that belong to the schema,1,rapdev_maxdb,
rapdev.maxdb.session.catalog_cache_used_size,gauge,15,byte,,Space used by the catalog cache assigned to the database session,1,rapdev_maxdb,
rapdev.maxdb.session.count,gauge,15,,,Total number of sessions,1,rapdev_maxdb,
rapdev.maxdb.session.oms_heap_used_size,gauge,15,byte,,Memory consumption in the OMS heap,1,rapdev_maxdb,
rapdev.maxdb.session.paging_file_used_size,gauge,15,byte,,Size of the paging file in which information displaced from the catalog cache is written,1,rapdev_maxdb,
rapdev.maxdb.session.temp_used_size,gauge,15,byte,,Space used for temporary information from your database session,1,rapdev_maxdb,
rapdev.maxdb.session.utilization,gauge,15,,,Number of active sessions as a percentage of the total number of sessions allowed by the database (%),1,rapdev_maxdb,
rapdev.maxdb.table.row_count,gauge,15,,,Number of rows in the table,1,rapdev_maxdb,
rapdev.maxdb.table.used_size,gauge,15,byte,,Space used by the table,1,rapdev_maxdb,
rapdev.maxdb.uptime,gauge,15,second,,Amount of time the database has been in an online or admin state,1,rapdev_maxdb,
