metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.sophos.endpoint.registered,gauge,15,,,Submitted with a value of 1 for each endpoint and tagged with its various health statuses,1,rapdev_sophos,,
rapdev.sophos.endpoint.last_seen,gauge,15,second,,Number of seconds since the endpoint last checked into Sophos,1,rapdev_sophos,,
rapdev.sophos.endpoint.service_health,gauge,15,,,Number of service endpoints checked into Sophos,1,rapdev_sophos,,
