metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
agentil_software.businessobjects.bo_concurrent_users.bo_concurent_users,gauge,,user,,Concurrent users,0,agentil_software_sap_businessobjects,
agentil_software.businessobjects.bo_servers_status.bo_services_status_count,gauge,,service,,Number of services per status NOT_RUNNING:0 - STOPPED:1 - INVALID:2 - WAITING:3 - RUNNING:4,0,agentil_software_sap_businessobjects,
agentil_software.businessobjects.bo_servers_status.bo_services_status,gauge,,service,,Status of a given service NOT_RUNNING:0 - STOPPED:1 - INVALID:2 - WAITING:3 - RUNNING:4,0,agentil_software_sap_businessobjects,
agentil_software.businessobjects.bo_schedules_status.bo_schedules_status_total,count,,job,,Number of schedules per status RUNNING:0 - COMPLETE:1 - FAILURE:3 - PAUSED:8 - PENDING:9 - EXPIRED:13,0,agentil_software_sap_businessobjects,
agentil_software.businessobjects.bo_schedules_status.bo_schedules_status_per_schedule,count,,job,,Status of a given schedule RUNNING:0 - COMPLETE:1 - FAILURE:3 - PAUSED:8 - PENDING:9 - EXPIRED:13,0,agentil_software_sap_businessobjects,
agentil_software.businessobjects.bo_properties.bo_servers_metrics,gauge,,,,Value of the parameter set in tag bo_metric,0,agentil_software_sap_businessobjects,
agentil_software.systems.availability,gauge,,,,System availability,0,agentil_software_sap_businessobjects,
