metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
avmconsulting.workday.total_jobs,count,,,,Total count of events per Workday integration.,0,avm_consulting_workday,,
avmconsulting.workday.failed_jobs,count,,,,Count of failed/completed with errors events per Workday integration.,0,avm_consulting_workday,,
avmconsulting.workday.duration.avg,gauge,,,,duration of workday event,0,avm_consulting_workday,,
avmconsulting.workday.duration.count,rate,,,,duration of workday event,0,avm_consulting_workday,,
avmconsulting.workday.duration.median,gauge,,,,duration of workday event,0,avm_consulting_workday,,
avmconsulting.workday.duration.95percentile,gauge,,,,duration of workday event,0,avm_consulting_workday,,
avmconsulting.workday.duration.max,gauge,,,,duration of workday event,0,avm_consulting_workday,,
