metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
cds.netskope.application.bytes_transferred.client_bytes,gauge,,byte,,Application bytes sent from client side.,0,crest_data_systems_netskope,application.bytes_transferred.client_bytes,
cds.netskope.application.bytes_transferred.server_bytes,gauge,,byte,,Application bytes received from server side.,0,crest_data_systems_netskope,application.bytes_transferred.server_bytes,
cds.netskope.connection_cci.cci,gauge,,occurrence,,Cloud confidence index.,1,crest_data_systems_netskope,connection_cci.cci,
cds.netskope.network.client_bytes,gauge,,byte,,Network bytes sent from client side.,0,crest_data_systems_netskope,network.client_bytes,
cds.netskope.network.server_bytes,gauge,,byte,,Network bytes received from server side.,0,crest_data_systems_netskope,network.server_bytes,
cds.netskope.network.client_packets,gauge,,occurrence,,Network packets sent from client side.,0,crest_data_systems_netskope,network.client_packets,
cds.netskope.network.server_packets,gauge,,occurrence,,Network packets received from server side.,0,crest_data_systems_netskope,network.server_packets,
cds.netskope.network.session_duration,gauge,,second,,User network session duration.,0,crest_data_systems_netskope,network.session_duration,
