metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
datadog.marketplace.nerdvision.clients,gauge,,,,,0,nerdvision,
nerdvision.clients,gauge,,,,Number of connected nerdvision clients,0,nerdvision,nv_clients
nerdvision.events,gauge,,event,,Number of nerdvision events,0,nerdvision,nv_events
