metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
cds.ms.defender.endpoint.organization_exposure_level,gauge,7200,occurrence,,Provides the organization exposure level score,0,crest_data_systems_microsoft_defender,OrganizationExposureLevel,
cds.ms.defender.endpoint.software_version_vulnerabilities,gauge,7200,occurrence,,Number of vulnerabilities for each software version,0,crest_data_systems_microsoft_defender,SoftwareVulnerabilities,
cds.ms.defender.endpoint.software_version_installations,gauge,7200,occurrence,,Number of installations for each software version,0,crest_data_systems_microsoft_defender,SoftwareVersionInstallations,
cds.ms.defender.endpoint.missing_kbs,gauge,7200,occurrence,,Provides the missing KBs for each endpoint,0,crest_data_systems_microsoft_defender,MissingKBs,
