metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.validator.entity.checked,gauge,15,,,"Send in a 1 for every entity checked",1,rapdev_validator,,
rapdev.validator.keys_checked,gauge,15,,,"Send in a 1 for every entity key checked",1,rapdev_validator,,
rapdev.validator.bad_value,gauge,15,,,"Send in a 1 for every entity with a bad key value",1,rapdev_validator,,
rapdev.validator.bad_value_checked,gauge,15,,,"Send in a 1 for every entity checked for a bad value",1,rapdev_validator,,
rapdev.validator.missing_key,gauge,15,,,"Send in a 1 for every entity with a missing key",1,rapdev_validator,,
rapdev.validator.tag.missing_key,gauge,15,,,"Send in a 1 for every missing tag key",1,rapdev_validator,,
rapdev.validator.tag.bad_value,gauge,15,,,"Send in a 1 for tag value not in the conf.yaml",1,rapdev_validator,,
rapdev.validator.agent.installed,gauge,15,,,"Send in a 1 for every installed agent",1,rapdev_validator,,
