metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.o365.sharepoint.pages.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.sharepoint.pages.views,gauge,300,,,SharePoint daily page views by site type,1,office_365,,
rapdev.o365.sharepoint.sites.active,gauge,300,,,"SharePoint daily, active site count by site type",1,office_365,,
rapdev.o365.sharepoint.sites.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.sharepoint.sites.total,gauge,300,,,"SharePoint daily, total site count by site type",1,office_365,,
rapdev.o365.sharepoint.storage.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.sharepoint.storage.used,gauge,300,byte,,"SharePoint used storage in the organization",1,office_365,,
rapdev.o365.sharepoint.storage.allocated,gauge,300,byte,,"SharePoint allocated storage in the organization",1,office_365,,
rapdev.o365.skype.activity,gauge,300,,,Skype daily activity counts by activity type,1,office_365,,
rapdev.o365.skype.activity.organizer,gauge,300,,,Skype daily organizer activity counts by activity type,1,office_365,,
rapdev.o365.skype.activity.organizer.minutes,gauge,300,minute,,Skype daily organizer minute counts by activity type,1,office_365,,
rapdev.o365.skype.activity.organizer.minutes.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.skype.activity.organizer.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.skype.activity.organizer.users,gauge,300,user,,"Skype daily, unique organizer user counts by activity type",1,office_365,,
rapdev.o365.skype.activity.organizer.users.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.skype.activity.p2p,gauge,300,,,Skype daily peer-to-peer activity counts by activity type,1,office_365,,
rapdev.o365.skype.activity.p2p.minutes,gauge,300,minute,,Skype daily peer-to-peer minute counts by activity type,1,office_365,,
rapdev.o365.skype.activity.p2p.minutes.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.skype.activity.p2p.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.skype.activity.p2p.users,gauge,300,user,,"Skype daily, unique peer-to-peer user counts by activity type",1,office_365,,
rapdev.o365.skype.activity.p2p.users.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.skype.activity.participant,gauge,300,,,Skype daily participant activity counts by activity type,1,office_365,,
